ID,City,Country,Population_Millions,Founded_Year
21,New York,USA,8.5,1624
22,Los Angeles,USA,4.0,1781
23,Chicago,USA,2.7,1837
24,Houston,USA,2.3,1837
25,Phoenix,USA,1.6,1867
26,Philadelphia,USA,1.5,1682
27,San Antonio,USA,1.4,1718
28,San Diego,USA,1.4,1769
29,Dallas,USA,1.3,1841
30,San Jose,USA,1.0,1777
31,London,UK,9.0,43
32,Paris,France,2.1,-52
33,Berlin,Germany,3.6,1237
34,Madrid,Spain,3.3,865
35,Rome,Italy,2.8,-753
36,Tokyo,Japan,14.0,1603
37,Beijing,China,21.5,1045
38,Sydney,Australia,5.3,1788
39,Toronto,Canada,2.9,1793
40,Dubai,UAE,3.5,1833
